id,Country,Year,Month,FoodPriceIndex
30715,Switzerland,1986,7,81.6
55326,United States,1999,9,67.7
69431,United States,2007,4,82.1
4176,United States,1972,3,17.5
78039,Japan,2011,12,92.1
28872,Spain,1985,7,36.1
80741,"Taiwan, China",2013,5,83.2
78965,Israel,2012,6,94.5
25272,Austria,1983,8,53.8
80906,South Africa,2013,6,87.4
53827,Spain,1998,12,64.8
51341,Germany,1997,8,76.3998
8192,Sweden,1974,5,17.7
67030,Israel,2006,1,74.5
73971,Germany,2009,10,86.6518
69031,Greece,2007,2,87.8
9945,Switzerland,1975,5,
44935,Turkey,1994,2,0.3
26026,"Taiwan, China",1983,12,40.31
32451,Greece,1987,6,21.8
6535,Switzerland,1973,7,45.5
35072,Spain,1988,11,44.7
6351,South Africa,1973,5,1.3
76057,Netherlands,2010,11,93.0
41409,Canada,1992,4,59.3
31690,Israel,1987,1,19.8
22095,Luxembourg,1981,11,42.2
18981,Italy,1980,3,22.8
44647,Austria,1994,1,66.9
19172,Netherlands,1980,4,60.3
3346,Mexico,1971,10,
65790,Israel,2005,5,72.8
1092,Austria,1970,8,29.0
240,Luxembourg,1970,2,20.8
13941,United States,1977,6,
35259,Japan,1988,12,81.3
60032,France,2002,4,84.3
80005,Switzerland,2013,1,99.1
11216,Greece,1976,1,2.8
2875,Luxembourg,1971,7,21.6
75791,South Africa,2010,9,72.8
49981,Italy,1996,11,69.6
26541,Germany,1984,4,65.4295
39920,Luxembourg,1991,6,60.9
79744,Japan,2012,11,91.3
49800,Finland,1996,10,68.1
55157,Sweden,1999,8,76.6
12541,"Taiwan, China",1976,9,26.81
79276,Italy,2012,8,96.1
9850,Luxembourg,1975,4,29.0
50061,South Africa,1996,11,28.0
54357,Netherlands,1999,3,80.9
66086,Greece,2005,7,80.2
73230,Israel,2009,5,90.5
52816,Portugal,1998,5,76.8
71035,Finland,2008,3,86.6
12175,Luxembourg,1976,7,33.5
7736,"Taiwan, China",1974,2,24.51
73207,France,2009,5,94.8
6224,Canada,1973,5,16.7
78021,Greece,2011,12,100.0
67410,Turkey,2006,3,
63070,Turkey,2003,11,35.1
21552,Austria,1981,8,50.6
33487,Austria,1988,1,58.2
53411,Mexico,1998,9,37.4
48500,Turkey,1996,1,1.3
59661,"Taiwan, China",2002,1,62.46
73137,Sweden,2009,4,91.8
14566,South Africa,1977,10,2.1
3945,Israel,1972,2,0.0
30651,Portugal,1986,6,39.8
50135,Israel,1996,12,54.4
16002,Denmark,1978,8,32.3
57667,Austria,2001,1,70.9
56467,France,2000,5,77.8
17744,Japan,1979,7,70.1
21582,Denmark,1981,8,42.6
24785,Turkey,1983,4,0.0
2006,United States,1971,1,16.4
43936,Italy,1993,8,60.9
13631,United States,1977,4,27.4
68750,Luxembourg,2006,12,82.3
52260,Switzerland,1998,2,94.2
61559,Canada,2003,2,71.9
76302,Spain,2011,1,93.5
58086,Portugal,2001,3,84.7
65459,United Kingdom,2005,3,72.0
57994,Canada,2001,3,68.9
60796,Germany,2002,9,78.6285
23132,Denmark,1982,6,46.0
67481,Greece,2006,4,87.5
58351,Italy,2001,5,74.8
5622,Spain,1973,1,6.8
21306,Italy,1981,6,27.5
5317,France,1972,11,16.5
10836,"Taiwan, China",1975,10,27.95
33374,United Kingdom,1987,12,47.7
70109,United Kingdom,2007,9,76.7
69941,Germany,2007,8,83.6208
799,Canada,1970,6,14.0
59766,Mexico,2002,2,46.9
9190,Finland,1974,12,21.5
38952,France,1990,12,68.7
11042,Denmark,1975,12,24.0
13527,Spain,1977,4,13.1
8417,France,1974,7,19.9
17677,Austria,1979,7,45.6
29834,Japan,1986,1,83.9
45440,Switzerland,1994,6,93.1
73980,Finland,2009,10,84.4
15322,Sweden,1978,3,28.8
12516,Portugal,1976,9,5.4
11300,Turkey,1976,1,0.0
53365,Finland,1998,9,70.8
17095,Finland,1979,3,35.8
50265,Finland,1997,1,68.8
28129,Japan,1985,2,81.9
48384,Canada,1996,1,61.9
63247,Austria,2004,1,75.8
7082,Netherlands,1973,10,
52742,Spain,1998,5,64.0
61299,Japan,2002,12,90.2
18957,France,1980,3,35.1
37811,United States,1990,4,54.0
39176,Portugal,1991,1,61.7
77261,Italy,2011,7,93.8
46801,United States,1995,2,60.9
25251,"Taiwan, China",1983,7,42.75
39705,Switzerland,1991,5,92.0
64992,France,2004,12,86.0
14196,Mexico,1977,8,0.0
59016,Portugal,2001,9,85.4
59252,Spain,2001,11,71.5
81417,Spain,2013,10,98.8
76996,Portugal,2011,5,95.1
57554,United Kingdom,2000,12,66.6
45154,United Kingdom,1994,4,61.3
80800,Finland,2013,6,102.1
4276,Mexico,1972,4,0.0
68006,Portugal,2006,7,91.4
23475,Israel,1982,8,0.2
18397,Netherlands,1979,11,58.7
19732,France,1980,8,36.7
36247,Sweden,1989,6,72.1
29256,Portugal,1985,9,36.9
7950,Finland,1974,4,19.6
64362,Denmark,2004,8,78.5
41421,Germany,1992,4,73.2796
31581,Portugal,1986,12,41.5
37101,Greece,1989,12,29.4
75869,Japan,2010,10,93.7
80691,Mexico,2013,5,92.6
31820,Finland,1987,2,67.2
80552,Netherlands,2013,4,99.7
1432,Denmark,1970,10,14.8
35411,Italy,1989,1,48.9
46640,Turkey,1995,1,0.7
41061,"Taiwan, China",1992,1,48.95
35724,Japan,1989,3,81.5
43717,Austria,1993,7,67.2
74912,France,2010,4,95.3
72857,Austria,2009,3,
77091,Greece,2011,6,98.5
70596,Italy,2007,12,87.6
58581,United States,2001,6,71.4
58216,Mexico,2001,4,46.0
39239,Canada,1991,2,60.0
41501,Portugal,1992,4,68.3
81446,Italy,2013,10,98.3
47980,Luxembourg,1995,10,64.0
20174,Canada,1980,11,38.7
41376,United States,1992,3,56.6
12546,United States,1976,9,
27329,United Kingdom,1984,9,42.4
9416,Portugal,1975,1,3.9
40571,Portugal,1991,10,64.2
52506,Portugal,1998,3,75.7
62977,France,2003,11,86.3
26931,Portugal,1984,6,30.8
21630,Luxembourg,1981,8,41.1
73406,Mexico,2009,6,75.0
36557,Sweden,1989,8,72.9
77607,Netherlands,2011,9,95.0
13844,United Kingdom,1977,6,24.3
65656,Mexico,2005,4,58.0
8377,Austria,1974,7,36.5
6236,Germany,1973,5,43.596
66411,Italy,2005,9,81.6
68116,Italy,2006,8,83.3
62954,Canada,2003,11,71.5
9596,"Taiwan, China",1975,2,26.06
76615,Finland,2011,3,92.2
30626,Mexico,1986,6,1.2
40046,Greece,1991,7,38.1
77951,"Taiwan, China",2011,11,81.15
33846,Greece,1988,3,22.2
36777,Spain,1989,10,48.8
79910,Luxembourg,2012,12,96.6
61451,Italy,2003,1,78.7
44462,Sweden,1993,11,76.6
49339,United Kingdom,1996,7,65.3
29076,Mexico,1985,8,0.7
44260,Luxembourg,1993,10,61.3
67200,Luxembourg,2006,2,80.3
15989,Canada,1978,8,30.5
79564,United Kingdom,2012,10,99.5
5206,Mexico,1972,10,0.0
72112,Denmark,2008,10,91.7
14486,Italy,1977,10,16.6
68867,France,2007,1,88.6
2970,Switzerland,1971,8,41.0
48095,Finland,1995,11,67.9
32779,Japan,1987,8,80.3
40872,Netherlands,1991,12,74.4
14774,United Kingdom,1977,12,24.7
25505,Luxembourg,1983,9,49.5
79916,Mexico,2012,12,90.2
17896,Italy,1979,8,20.6
17622,Netherlands,1979,6,57.9
79242,Denmark,2012,8,100.2
42980,Finland,1993,2,76.1
66146,Portugal,2005,7,88.6
1420,Switzerland,1970,10,38.5
42357,Spain,1992,10,54.1
26857,Spain,1984,6,32.6
56775,Finland,2000,7,71.5
8570,Finland,1974,8,21.0
31845,Israel,1987,2,19.4
79552,Denmark,2012,10,99.5
57852,Denmark,2001,2,75.7
53367,France,1998,9,75.4
70641,Portugal,2007,12,94.3
61274,United Kingdom,2002,12,68.7
73202,Spain,2009,5,93.1
10587,France,1975,9,22.6
33212,Spain,1987,11,42.5
34459,United Kingdom,1988,7,48.4
27815,Israel,1984,12,5.2
78980,Luxembourg,2012,6,95.6
61521,"Taiwan, China",2003,1,
27741,South Africa,1984,11,5.4
65156,Greece,2005,1,83.0
25026,Italy,1983,6,35.3
12319,Japan,1976,8,62.3
57840,Switzerland,2001,2,96.0
13556,Italy,1977,4,15.4
9286,"Taiwan, China",1974,12,26.67
65406,South Africa,2005,2,48.6
27782,Denmark,1984,12,53.8
58626,Germany,2001,7,80.5006
62645,Switzerland,2003,9,101.4
39201,"Taiwan, China",1991,1,46.32
39860,Switzerland,1991,6,93.6
40652,Spain,1991,11,53.3
18422,Sweden,1979,11,31.1
15215,Switzerland,1978,3,55.3
56002,France,2000,2,76.8
81294,Japan,2013,9,93.5
65311,Greece,2005,2,84.1
15084,United Kingdom,1978,2,25.0
71037,France,2008,3,93.0
11674,United Kingdom,1976,4,19.7
49184,United Kingdom,1996,6,66.3
25312,France,1983,8,51.8
66569,Japan,2005,10,89.3
45331,Italy,1994,5,62.4
74222,Sweden,2009,11,91.0
52736,Germany,1998,5,78.1828
38666,Italy,1990,10,54.1
67206,Mexico,2006,2,59.1
41921,Italy,1992,7,59.7
23977,Netherlands,1982,11,67.7
62986,Greece,2003,11,
64207,Denmark,2004,7,78.7
39986,South Africa,1991,6,14.8
760,Turkey,1970,5,0.0
1599,United Kingdom,1970,11,8.3
25416,South Africa,1983,8,4.7
30726,Germany,1986,7,66.5675
10596,Greece,1975,9,2.6
17585,Israel,1979,6,0.0
9546,Mexico,1975,2,0.0
78472,Spain,2012,3,95.8
33835,Finland,1988,3,
70920,Luxembourg,2008,2,87.2
19311,Mexico,1980,5,0.1
55074,United Kingdom,1999,8,65.6
61496,Portugal,2003,1,87.8
17097,France,1979,3,31.9
43562,Austria,1993,6,66.9
14035,Luxembourg,1977,7,35.2
357,France,1970,3,13.7
71916,South Africa,2008,8,67.4
2177,Austria,1971,3,29.1
37070,Switzerland,1989,12,85.1
62347,Denmark,2003,7,79.7
12735,Switzerland,1976,11,53.5
16466,Germany,1978,11,52.6281
64726,Mexico,2004,10,56.7
3302,France,1971,10,15.1
27477,Spain,1984,10,34.0
1381,"Taiwan, China",1970,9,14.02
40136,United States,1991,7,56.0
55426,Mexico,1999,10,42.2
50244,Canada,1997,1,63.5
41286,Greece,1992,3,43.2
62694,Japan,2003,9,90.0
38591,South Africa,1990,9,13.2
45721,South Africa,1994,7,23.4
33709,Japan,1988,2,80.4
22461,"Taiwan, China",1982,1,40.95
61119,United Kingdom,2002,11,68.7
39377,Austria,1991,3,62.2
55442,Netherlands,1999,10,78.8
335,Switzerland,1970,3,37.8
62355,Finland,2003,7,77.0
64372,France,2004,8,85.4
60022,Denmark,2002,4,78.4
17337,Sweden,1979,4,29.9
57087,France,2000,9,77.7
33261,Mexico,1987,11,3.8
12826,Portugal,1976,11,5.7
70884,United Kingdom,2008,2,79.4
11207,France,1976,1,23.0
41362,Sweden,1992,3,77.6
75725,Luxembourg,2010,9,
3639,Japan,1971,12,34.5
30761,Italy,1986,7,44.2
11364,United Kingdom,1976,2,19.2
36051,Mexico,1989,5,7.1
25302,Denmark,1983,8,48.6
55072,France,1999,8,75.0
71701,Mexico,2008,7,68.8
27830,Luxembourg,1984,12,
42616,United States,1992,11,56.4
53499,Canada,1998,10,63.7
81244,Canada,2013,9,93.1
11151,United States,1975,12,26.1
52427,Denmark,1998,3,71.2
81670,Turkey,2013,11,81.4
76971,Mexico,2011,5,80.1
50507,Sweden,1997,2,73.7
53142,Sweden,1998,7,76.6
48097,France,1995,11,72.1
61580,Finland,2003,2,77.5
72370,Turkey,2008,11,55.0
4115,Luxembourg,1972,3,22.3
71540,Luxembourg,2008,6,88.6
53201,Germany,1998,8,76.9347
79656,"Taiwan, China",2012,10,84.46
60281,"Taiwan, China",2002,5,61.68
26131,Mexico,1984,1,0.3
71990,Israel,2008,9,91.2
3756,Germany,1972,1,39.0444
50756,Italy,1997,4,69.5
2631,South Africa,1971,5,1.0
77646,United States,2011,9,94.7
817,Spain,1970,6,5.3
55405,Israel,1999,10,65.7
31521,Greece,1986,12,19.5
33277,Netherlands,1987,11,68.2
13731,Mexico,1977,5,0.0
71957,Denmark,2008,9,92.1
48522,Austria,1996,2,66.3
16501,Italy,1978,11,18.7
79622,Netherlands,2012,10,97.7
35841,Germany,1989,4,67.1364
75056,Germany,2010,5,89.3263
49016,Germany,1996,5,76.1324
9897,Sweden,1975,4,19.5
14284,Canada,1977,9,25.4
24070,Finland,1982,12,52.3
79166,Portugal,2012,7,99.3
51291,"Taiwan, China",1997,7,62.85
53834,United Kingdom,1998,12,66.9
56405,Turkey,2000,4,12.4
14506,Mexico,1977,10,0.0
72895,Finland,2009,3,91.9
64554,Japan,2004,9,90.5
33726,Mexico,1988,2,5.3
10672,Sweden,1975,9,21.1
8751,Italy,1974,9,10.1
26922,Netherlands,1984,6,70.4
1311,Italy,1970,9,6.4
51761,United States,1997,10,65.5
65125,Switzerland,2005,1,101.3
34401,United States,1988,6,47.7
69821,Italy,2007,7,85.1
79726,Greece,2012,11,99.5
40216,Italy,1991,8,57.2
5777,Spain,1973,2,6.7
64457,Sweden,2004,8,81.4
41686,United States,1992,5,56.1
23366,Portugal,1982,7,18.5
58836,Mexico,2001,8,47.0
38702,Netherlands,1990,10,71.5
27257,Sweden,1984,8,55.2
55791,United States,1999,12,68.1
34136,Germany,1988,5,66.0696
5402,Sweden,1972,11,16.6
50621,Mexico,1997,3,30.6
4879,Japan,1972,8,35.8
9170,Switzerland,1974,12,53.7
46020,Turkey,1994,9,0.5
46261,Italy,1994,11,64.1
59350,Turkey,2001,11,23.4
54941,Italy,1999,7,70.6
21076,South Africa,1981,4,3.6
66951,United States,2005,12,78.9
66171,"Taiwan, China",2005,7,72.85
44224,United Kingdom,1993,10,60.3
61667,Sweden,2003,2,81.6
9801,Germany,1975,4,47.4364
9681,Italy,1975,3,11.0
66256,Italy,2005,8,81.5
384,Japan,1970,3,33.4
80917,Austria,2013,7,97.3
64565,Luxembourg,2004,9,78.2
22517,Spain,1982,2,25.3
71342,Spain,2008,5,93.8
81107,Spain,2013,8,100.8
30262,Denmark,1986,4,56.1
25922,Denmark,1983,12,50.5
49406,Portugal,1996,7,74.3
65174,Japan,2005,1,91.2
35847,Spain,1989,4,45.7
28970,Turkey,1985,7,0.0
76439,Canada,2011,2,88.5
32730,Switzerland,1987,8,
46726,Italy,1995,2,65.4
57651,United States,2000,12,70.1
34791,Italy,1988,9,47.9
2587,Netherlands,1971,5,36.6
81262,Spain,2013,9,99.4
19600,Israel,1980,7,0.1
50671,"Taiwan, China",1997,3,59.77
17290,Luxembourg,1979,4,36.1
60231,Mexico,2002,5,47.6
78299,Canada,2012,2,92.6
15214,Canada,1978,3,
1466,Italy,1970,10,6.4
25469,United Kingdom,1983,9,40.6
25157,France,1983,7,51.3
69580,Turkey,2007,5,46.7
15884,Japan,1978,7,67.4
49802,France,1996,10,72.6
65767,France,2005,5,87.4
54521,Portugal,1999,4,79.3
62766,United States,2003,9,74.3
55532,Spain,1999,11,65.5
54447,Spain,1999,4,65.4
37936,Portugal,1990,5,58.3
40141,South Africa,1991,7,15.0
33131,Portugal,1987,10,43.9
64147,Sweden,2004,6,81.6
16157,Denmark,1978,9,32.6
18182,France,1979,10,33.9
59636,Portugal,2002,1,86.6
17741,Italy,1979,7,20.5
13837,Spain,1977,6,13.8
28821,United States,1985,6,42.8
8264,United Kingdom,1974,6,13.4
75326,South Africa,2010,6,
52117,Denmark,1998,1,71.3
35791,"Taiwan, China",1989,3,44.67
26077,Denmark,1984,1,50.8
8532,Austria,1974,8,36.9
11230,Israel,1976,1,0.0
28255,Finland,1985,3,63.5
30249,Canada,1986,4,50.4
39257,Spain,1991,2,50.6
64906,Portugal,2004,11,88.4
20354,United Kingdom,1980,12,34.0
72737,Spain,2009,2,94.5
3052,Netherlands,1971,8,37.0
21221,"Taiwan, China",1981,5,39.51
78162,Spain,2012,1,95.6
51600,Turkey,1997,9,3.4
45452,Denmark,1994,6,64.5
75927,Sweden,2010,10,92.4
12972,Netherlands,1976,12,55.9
53821,Germany,1998,12,76.5781
26900,Luxembourg,1984,6,52.3
31866,Mexico,1987,2,2.0
63747,Spain,2004,4,79.4
52832,Sweden,1998,5,76.1
6650,Turkey,1973,7,0.0
29952,Denmark,1986,2,55.7
21461,Italy,1981,7,27.7
46525,Switzerland,1995,1,93.1
45090,Turkey,1994,3,0.4
72517,Sweden,2008,12,90.4
43252,Austria,1993,4,66.7
58924,Canada,2001,9,68.6
4569,Japan,1972,6,35.2
70356,"Taiwan, China",2007,10,79.43
19911,Italy,1980,9,24.3
12437,Denmark,1976,9,26.8
6891,Italy,1973,9,8.1
72124,United Kingdom,2008,10,85.8
69020,Finland,2007,2,80.9
30332,Netherlands,1986,4,70.1
30797,Netherlands,1986,7,69.5
81637,Netherlands,2013,11,98.2
71441,"Taiwan, China",2008,5,74.88
39361,United States,1991,2,55.9
1331,Mexico,1970,9,0.0
5416,United States,1972,11,17.9
32666,Portugal,1987,7,42.9
48677,Austria,1996,3,66.8
23382,Sweden,1982,7,44.3
57420,Israel,2000,11,68.1
16980,Luxembourg,1979,2,36.1
67557,Sweden,2006,4,80.8
21057,Sweden,1981,4,38.3
18840,Luxembourg,1980,2,
27174,United Kingdom,1984,8,42.6
79870,Finland,2012,12,99.1
21724,Canada,1981,9,41.8
39891,Greece,1991,6,39.5
43597,Spain,1993,6,55.0
22926,"Taiwan, China",1982,4,41.28
11054,United Kingdom,1975,12,18.2
18452,Austria,1979,12,45.5
63071,"Taiwan, China",2003,11,63.13
8951,Portugal,1974,10,3.9
69116,"Taiwan, China",2007,2,68.08
38511,Italy,1990,9,53.9
20844,Japan,1981,3,77.6
72052,Sweden,2008,9,89.3
61210,Turkey,2002,11,30.2
57961,United States,2001,2,70.7
2399,Japan,1971,4,34.3
51301,South Africa,1997,7,29.7
1081,South Africa,1970,7,1.0
40540,Luxembourg,1991,10,61.8
77641,"Taiwan, China",2011,9,80.44
67045,Luxembourg,2006,1,80.2
56046,Mexico,2000,2,43.4
74872,Austria,2010,4,88.0
11757,Sweden,1976,4,22.7
9606,South Africa,1975,2,1.7
13509,Canada,1977,4,23.9
44570,Luxembourg,1993,12,61.4
64321,South Africa,2004,7,47.6
71927,Austria,2008,9,86.4
13521,Germany,1977,4,52.3436
25561,"Taiwan, China",1983,9,42.84
49335,Finland,1996,7,69.8
31007,Austria,1986,9,58.8
41476,Mexico,1992,4,12.0
56992,Netherlands,2000,8,79.6
67461,Germany,2006,4,80.7681
40529,Japan,1991,10,94.0
31975,Finland,1987,3,67.8
74447,France,2010,1,94.4
8037,Sweden,1974,4,17.7
79850,Switzerland,2012,12,98.3
74009,Japan,2009,10,92.4
37022,Sweden,1989,11,
28456,Mexico,1985,4,0.6
69511,Italy,2007,5,85.0
63812,Netherlands,2004,4,86.8
61107,Denmark,2002,11,78.2
53084,Japan,1998,7,92.9
50887,France,1997,5,74.2
80397,Netherlands,2013,3,100.1
43910,Finland,1993,8,75.6
41732,Denmark,1992,6,63.1
80191,Greece,2013,2,99.9
37797,Sweden,1990,4,76.1
65756,Germany,2005,5,80.2332
78831,Mexico,2012,5,85.1
66721,Italy,2005,11,81.6
13786,United States,1977,5,27.5
23645,Luxembourg,1982,9,46.3
80797,Spain,2013,6,99.8
64516,Germany,2004,9,78.4502
19972,Sweden,1980,9,35.1
6136,Mexico,1973,4,0.0
71286,"Taiwan, China",2008,4,74.83
5826,Mexico,1973,2,0.0
60457,Austria,2002,7,71.6
13685,Finland,1977,5,32.8
33706,Italy,1988,2,46.7
61250,Switzerland,2002,12,99.1
26806,United States,1984,5,42.0
81135,Israel,2013,8,101.8
32742,Denmark,1987,8,57.2
54786,Italy,1999,6,70.9
30119,United Kingdom,1986,3,45.3
5171,Greece,1972,10,1.5
76950,Israel,2011,5,96.8
48589,Japan,1996,2,91.4
17241,Germany,1979,4,53.9083
34417,Austria,1988,7,58.2
22411,Mexico,1982,1,0.1
2106,Mexico,1971,2,0.0
61155,Luxembourg,2002,11,75.9
74842,Sweden,2010,3,93.0
78312,Denmark,2012,2,98.8
38017,Spain,1990,6,48.7
50139,Japan,1996,12,91.8
47407,Sweden,1995,6,81.1
5975,Luxembourg,1973,3,24.2
31550,Luxembourg,1986,12,55.8
36467,Spain,1989,8,47.6
35520,Switzerland,1989,2,83.0
64089,Japan,2004,6,91.0
31335,Switzerland,1986,11,79.4
60320,Switzerland,2002,6,99.8
71201,Greece,2008,4,94.9
2550,Israel,1971,5,0.0
39831,South Africa,1991,5,14.8
16282,Austria,1978,10,44.2
74759,United Kingdom,2010,3,90.1
77859,United Kingdom,2011,11,96.8
13094,Japan,1977,1,64.1
30454,Japan,1986,5,82.5
31225,Israel,1986,10,17.6
29524,Japan,1985,11,81.2
69091,Portugal,2007,2,93.3
50586,Greece,1997,3,64.0
21791,Mexico,1981,9,0.1
694,Japan,1970,5,32.9
60962,France,2002,10,83.9
12386,"Taiwan, China",1976,8,27.19
53672,Spain,1998,11,64.3
71014,Canada,2008,3,79.0
68090,Finland,2006,8,78.8
55796,South Africa,1999,12,33.8
28722,France,1985,6,58.6
21677,Sweden,1981,8,39.8
25992,Netherlands,1983,12,69.5
6185,Turkey,1973,4,0.0
46436,Mexico,1994,12,13.7
15181,United States,1978,2,29.0
34466,Greece,1988,7,22.4
47986,Mexico,1995,10,20.6
32691,"Taiwan, China",1987,7,42.89
26961,United States,1984,6,42.2
23401,South Africa,1982,7,4.2
70151,Mexico,2007,9,65.0
39676,South Africa,1991,4,14.5
23706,United States,1982,9,40.6
80826,Italy,2013,6,99.9
56511,Mexico,2000,5,44.0
19431,Greece,1980,6,6.0
67712,Sweden,2006,5,82.1
45112,Austria,1994,4,67.5
43842,Sweden,1993,7,77.7
